id,price_id,date
1777,9569,2022-04-13
2698,20597,2022-01-05
1315,4394,2021-10-23
1446,11273,2022-07-17
2784,12007,2022-05-23
3105,19768,2021-11-14
3035,16965,2021-08-16
3316,15527,2021-09-06
2718,11460,2021-12-11
3539,21968,2022-02-28
2621,10774,2022-04-17
1596,9597,2022-01-13
891,6286,2022-04-29
1372,9666,2022-05-20
1480,5040,2021-10-01
1615,5594,2021-11-15
3000,22920,2022-03-30
2040,9502,2022-05-01
1895,7038,2022-06-25
3089,17510,2022-05-03
2230,8694,2021-08-29
2360,9345,2022-03-30
1424,5739,2022-02-09
1533,6301,2022-04-29
1536,14600,2021-09-24
441,1420,2021-12-07
1046,16105,2022-03-18
988,22200,2022-07-04
2968,21158,2022-05-07
1410,7972,2022-04-15
1089,3510,2022-03-24
209,710,2021-11-13
4059,27950,2022-06-12
3852,21679,2022-05-02
716,25010,2021-11-23
862,18917,2021-09-21
421,1351,2022-06-20
16,11599,2022-05-10
2327,9136,2021-08-01
4081,28927,2022-06-04
3101,20927,2022-03-24
3519,17607,2022-08-06
3560,18043,2022-07-05
3683,19195,2022-01-30
954,25075,2022-02-18
2386,28252,2022-02-05
1759,21811,2022-05-15
666,2161,2021-12-13
2644,14698,2021-08-30
2354,9301,2021-11-27
1874,6942,2021-11-30
2622,18810,2022-04-17
3718,21147,2021-12-04
3914,22892,2021-07-28
2712,11445,2021-10-10
2491,14678,2021-09-02
3719,25208,2021-12-04
90,13608,2022-04-15
2463,10017,2022-07-02
3488,17096,2022-06-28
1106,3569,2022-07-08
1903,7061,2022-06-05
419,3078,2022-03-29
3668,27098,2022-01-07
66,286,2022-06-03
1832,21141,2022-06-06
765,2525,2021-11-16
2455,16936,2021-09-22
357,3890,2021-12-27
1880,6974,2021-09-13
2382,9507,2021-10-20
166,24516,2022-06-16
520,14890,2022-02-22
212,711,2022-02-19
2075,25260,2021-11-27
1981,11674,2021-12-10
2681,12103,2022-04-19
2911,12705,2021-07-27
170,573,2021-09-08
2409,9712,2021-12-02
3770,20514,2021-11-28
1540,25154,2021-12-03
2368,9379,2021-08-19
1611,20234,2022-02-05
2060,21452,2021-09-20
3283,18457,2021-10-13
3218,15637,2022-03-17
3364,26517,2022-03-06
2448,27103,2022-04-30
2922,12760,2022-01-17
1580,5432,2021-10-26
1045,3372,2022-03-18
39,15734,2021-12-23
3463,16821,2022-06-03
162,539,2021-11-22
1028,3306,2022-01-26
101,10464,2021-10-14
3004,27421,2022-01-29
3947,23740,2021-12-27
1728,9271,2022-06-09
3800,20805,2021-09-22
2085,20771,2021-07-31
3782,22043,2022-01-05
1619,14811,2021-12-31
1518,12271,2022-06-13
2502,10117,2022-07-01
2055,28659,2022-06-13
624,18495,2021-12-10
3318,21573,2022-07-18
456,19617,2022-03-17
230,26423,2022-03-19
2899,12614,2021-07-28
2304,9033,2022-02-24
1576,12514,2022-06-10
1726,8939,2022-01-24
1022,3301,2022-03-18
3542,17909,2021-11-21
2500,16337,2021-10-28
3785,20645,2022-06-12
639,18820,2021-10-02
1195,3916,2022-05-22
3561,22063,2022-07-05
3859,21821,2021-09-09
1878,6955,2022-08-04
2869,25080,2022-06-13
247,6984,2021-09-05
2352,9291,2021-08-26
175,8935,2022-05-08
2719,11480,2021-11-22
4004,25709,2022-03-13
2465,25708,2021-12-20
770,2537,2021-12-04
438,1404,2022-02-12
3791,20676,2021-12-18
3701,19512,2022-06-23
2565,10393,2022-04-06
829,5008,2021-12-31
800,22813,2022-07-08
2868,22258,2022-06-13
720,2350,2021-09-16
401,5424,2022-01-28
832,26596,2021-09-12
2392,9581,2022-02-20
3086,13806,2022-04-18
3185,21672,2021-10-14
127,2077,2022-03-07
2697,11320,2022-01-05
1135,19140,2021-08-23
107,380,2021-09-27
849,2747,2021-07-28
2864,12368,2022-01-01
2545,20313,2022-02-27
469,1507,2021-12-25
2521,27151,2022-04-24
3970,28840,2021-11-29
1784,29363,2022-05-24
1617,5604,2021-12-31
735,2401,2022-01-26
138,20074,2022-07-26
1324,8514,2022-05-15
1268,15392,2022-06-21
1152,3751,2021-12-27
1457,24681,2022-07-02
251,5227,2022-02-24
1608,24795,2021-07-18
785,8892,2022-01-05
2009,24913,2022-07-21
2067,17582,2021-12-17
3123,14050,2021-12-30
2546,10313,2022-02-04
3710,19589,2022-01-27
1697,6230,2022-03-12
1809,28498,2022-06-16
124,6853,2021-10-17
1761,7568,2021-07-15
2904,14387,2022-01-31
2086,7962,2022-02-14
4010,25977,2021-08-03
3350,23162,2022-05-10
2092,26805,2021-07-24
537,1750,2022-07-11
4032,27075,2022-01-28
3999,25668,2021-09-30
3497,17290,2022-04-11
982,25695,2022-04-30
1671,5968,2021-11-02
2476,11068,2022-06-10
3482,17082,2022-03-24
418,1342,2022-03-29
747,2424,2022-06-01
3549,17970,2021-12-08
2713,25278,2021-10-10
528,1698,2021-11-22
2410,20253,2021-12-02
4080,29275,2021-09-20
2783,19205,2021-08-11
448,1436,2022-04-29
916,2910,2021-08-25
3621,24957,2022-01-28
