id,quote_id,product_type,premium,taxes
5076,758,full,556.14,116.51
7104,4645,legal,25.0,1.71
20540,4422,legal,37.5,2.02
27857,6935,breakdown,22.9,5.09
11256,1527,legal,25.0,1.71
20426,3434,legal,25.0,1.71
16480,9353,full,259.51,54.37
3212,4520,breakdown,16.89,4.54
841,6491,full,228.49,47.87
4664,6828,legal,25.0,1.71
17288,8035,breakdown,16.89,4.54
29482,6058,legal,25.0,1.71
11939,2242,legal,25.0,1.71
15114,1064,legal,37.5,2.02
10464,9016,legal,37.5,2.02
9768,1068,breakdown,22.9,5.09
24529,3227,legal,25.0,1.71
28652,4632,full,309.5,64.84
20341,3045,breakdown,16.89,4.54
15490,1133,breakdown,16.89,4.54
18120,2266,legal,25.0,1.71
7395,5176,full,434.85,91.1
15637,6612,legal,37.5,2.02
10800,4671,breakdown,22.9,5.09
15375,2738,legal,25.0,1.71
20701,8454,legal,25.0,1.71
7865,6479,breakdown,16.89,4.54
16926,1530,breakdown,16.89,4.54
6935,8055,full,338.45,70.9
20837,4718,legal,46.13,1.71
15489,4485,full,316.58,66.32
9108,9946,full,458.74,96.1
15014,455,breakdown,16.89,4.54
13374,2041,full,446.39,93.51
16987,6382,breakdown,16.89,4.54
553,6311,breakdown,22.9,5.09
29216,4680,breakdown,22.9,5.09
4385,9929,breakdown,16.89,4.54
23731,9004,legal,25.0,1.71
9103,4623,legal,46.13,1.71
24821,5402,breakdown,16.89,4.54
19150,6093,full,419.69,87.92
7409,9614,full,302.97,63.47
27771,9707,full,328.11,68.74
23531,3122,legal,37.5,2.02
29630,293,breakdown,22.9,5.09
912,5228,full,328.2,68.75
27689,2499,legal,25.0,1.71
26641,2569,breakdown,16.89,4.54
25249,6703,legal,25.0,1.71
7991,5497,legal,46.13,1.71
13528,7562,full,354.49,74.26
17301,1343,legal,25.0,1.71
14663,9134,full,228.68,47.9
23391,9315,breakdown,16.89,4.54
26541,1802,full,171.53,35.93
25409,7600,breakdown,16.89,4.54
8127,1125,full,215.78,45.2
4934,7435,full,265.59,55.64
11137,4796,legal,37.5,2.02
28703,9102,full,231.85,48.57
13893,4193,full,289.67,60.68
9735,1002,breakdown,16.89,4.54
14034,8931,full,101.2,21.2
6892,7875,legal,37.5,2.02
15551,8207,full,661.27,138.53
24582,4765,legal,25.0,1.71
16466,2410,full,932.75,195.4
16051,921,legal,25.0,1.71
13964,2991,legal,25.0,1.71
13655,6455,legal,25.0,1.71
18336,6497,full,337.97,70.8
15258,4699,breakdown,16.89,4.54
22726,5744,legal,25.0,1.71
25870,78,full,101.2,21.2
29450,6784,legal,46.13,1.71
6083,5239,full,101.2,21.2
21014,527,legal,25.0,1.71
4943,4676,breakdown,16.89,4.54
27008,715,full,101.2,21.2
21285,2087,full,350.8,73.49
2,4631,breakdown,22.9,5.09
5479,739,breakdown,16.89,4.54
13483,5523,legal,37.5,2.02
17831,5309,full,474.36,99.37
15183,6474,legal,25.0,1.71
7982,9788,legal,25.0,1.71
26728,1099,breakdown,16.89,4.54
