id,vehicle_type,city
353,car,Milan
8348,car,Milan
5435,car,London
234,motorcycle,Madrid
1726,car,Milan
7393,motorcycle,London
3970,motorcycle,Madrid
7427,motorcycle,Rome
7368,motorcycle,Milan
808,motorcycle,Milan
4868,car,London
8185,motorcycle,Milan
3778,motorcycle,Madrid
7550,car,Rome
8164,car,Milan
6180,car,Milan
6339,car,Milan
1323,motorcycle,Milan
3253,car,Milan
1198,car,Rome
20,motorcycle,Madrid
2544,motorcycle,Madrid
4982,car,London
3400,car,Rome
5369,car,Madrid
5426,car,Milan
4257,car,Madrid
480,motorcycle,Rome
4600,car,Milan
45,motorcycle,Rome
6822,car,London
2466,car,London
1072,van,Rome
535,van,Milan
4963,car,Rome
4974,car,Madrid
4480,car,Rome
3142,car,Rome
2522,car,Rome
3547,car,London
3175,car,Rome
4068,car,Rome
1401,car,Milan
5665,motorcycle,Rome
1657,car,Milan
4203,car,Madrid
5010,car,Milan
2543,van,Rome
5003,car,Rome
8320,van,Rome
254,car,Rome
7456,motorcycle,Madrid
5051,car,Madrid
786,car,Madrid
6392,car,Milan
7847,car,Milan
6164,car,Rome
589,car,Rome
3908,car,Milan
1064,car,Milan
2140,car,Rome
3795,car,Rome
8666,car,Milan
6708,car,Milan
1872,car,Milan
7952,van,Milan
3470,car,Madrid
8053,car,Milan
8374,motorcycle,London
2245,car,London
6644,car,Milan
2514,car,London
8578,car,Milan
223,motorcycle,Madrid
8418,motorcycle,Milan
5625,motorcycle,Rome
3542,car,Madrid
1679,car,Madrid
881,van,Milan
4309,car,Milan
648,car,Milan
3207,car,Madrid
1879,car,Milan
673,car,Milan
5990,motorcycle,Milan
6853,van,Milan
5205,car,Rome
2176,car,Madrid
7564,car,Rome
2203,car,London
4348,car,Milan
4579,car,Madrid
3965,motorcycle,Milan
4000,car,Milan
7432,car,Rome
3784,motorcycle,Rome
6342,car,Madrid
5290,motorcycle,Milan
8027,car,London
5110,car,London
1448,car,Milan
3692,car,Rome
7671,car,Rome
5071,car,London
6261,car,Rome
8311,car,London
3086,motorcycle,Madrid
3543,car,Rome
7012,car,Rome
3632,car,Madrid
199,car,Rome
3583,motorcycle,Milan
1245,car,Milan
7248,car,London
7788,car,Rome
7886,car,Rome
4742,car,London
8290,motorcycle,Milan
3805,motorcycle,Milan
4351,car,Rome
2942,car,Rome
5662,car,Rome
7708,car,Milan
1360,motorcycle,Milan
5690,car,Rome
1111,car,Rome
5904,motorcycle,Milan
6179,motorcycle,Madrid
1555,car,Milan
2119,motorcycle,Milan
3741,car,Rome
4987,car,Rome
7909,car,Rome
1490,car,Rome
7906,car,Milan
7333,car,Madrid
2277,car,Rome
5088,car,Rome
5661,car,Rome
281,car,Milan
8326,car,Rome
7739,van,Rome
6206,motorcycle,Rome
3512,car,London
3521,car,London
4598,car,Milan
4782,car,Rome
6032,motorcycle,Rome
5240,car,Milan
7949,car,Madrid
1188,car,Rome
1713,car,Milan
2518,car,Milan
5577,motorcycle,Madrid
7019,car,Milan
240,car,Madrid
6230,car,Rome
6448,car,Milan
2670,car,Milan
6518,motorcycle,Milan
6851,car,Milan
6986,car,Madrid
48,car,Rome
6528,motorcycle,Milan
4946,car,London
3393,car,London
5463,car,Milan
6310,car,Milan
8107,car,Rome
4083,van,Rome
6579,van,Milan
1762,motorcycle,Milan
3731,car,Madrid
3189,motorcycle,Milan
2052,motorcycle,Milan
3699,car,Madrid
2008,motorcycle,Milan
2048,car,Madrid
6351,car,London
4711,car,London
2907,car,Milan
4965,van,Milan
362,car,Milan
4337,car,Milan
7611,car,Milan
490,car,London
4373,car,Milan
3836,car,Milan
7696,car,Milan
2435,motorcycle,Rome
6915,car,Madrid
3551,car,Madrid
1040,car,Milan
2097,car,Milan
3662,car,London
5842,car,Madrid
4718,car,Milan
6580,car,London
3016,car,Milan
4179,car,Rome
4332,car,London
1467,car,Milan
1343,car,Milan
5981,car,Milan
7145,van,Milan
6428,car,Milan
615,car,Rome
3039,car,Milan
2761,car,London
3774,car,Milan
3592,car,Rome
6496,car,London
1315,car,Rome
6920,motorcycle,Rome
4006,motorcycle,Milan
3607,car,Milan
1895,car,Rome
4913,car,Rome
5977,motorcycle,Rome
7111,car,Rome
5743,motorcycle,Madrid
8166,car,Milan
7044,car,Madrid
3173,car,Rome
5918,motorcycle,Rome
3369,motorcycle,Milan
1196,car,Rome
62,car,Madrid
6182,car,Milan
3606,car,Milan
7900,motorcycle,Milan
5650,car,Rome
8265,car,Milan
3062,car,Rome
2773,car,Milan
7670,car,Rome
6829,car,Madrid
5621,car,Milan
7162,car,Rome
2418,motorcycle,Milan
2421,car,Milan
5425,motorcycle,Milan
6581,car,Rome
1016,car,Madrid
1184,car,London
699,motorcycle,Madrid
1069,car,London
3251,car,Milan
5660,car,London
5408,car,London
7742,car,Milan
8258,car,Milan
110,car,London
1438,car,Rome
7252,car,Milan
1044,motorcycle,Rome
7075,car,Rome
1763,car,Madrid
5153,car,Madrid
1770,car,Rome
3922,van,Madrid
4968,car,Rome
6401,car,Milan
5950,motorcycle,London
8347,car,Rome
2303,car,Milan
6665,car,Rome
2442,motorcycle,Madrid
2866,car,Rome
7351,car,Milan
8538,car,Rome
941,motorcycle,Milan
7498,car,Milan
6045,motorcycle,London
4547,car,Milan
2984,car,Rome
5909,car,Milan
93,car,Madrid
292,car,Milan
8534,car,Milan
1892,car,Madrid
7752,motorcycle,Milan
645,car,Milan
2927,car,Milan
554,car,Madrid
5849,car,Rome
3507,motorcycle,Milan
7726,car,Rome
8052,car,Rome
4899,car,Rome
4937,car,Rome
2664,motorcycle,Rome
3238,car,Rome
5483,car,Milan
4550,car,Milan
3921,car,Rome
5346,car,Milan
3653,car,Milan
2721,car,Milan
2881,car,Rome
2918,car,Milan
189,van,Rome
5856,car,Rome
1637,car,Milan
5400,car,Rome
2452,motorcycle,Milan
1982,car,Milan
2295,car,Rome
1918,car,Rome
1562,car,Rome
5138,car,Rome
8210,motorcycle,Milan
4651,car,Rome
6958,car,Rome
43,car,London
2126,car,Milan
2337,car,Madrid
5359,car,Rome
251,car,Milan
7275,car,Rome
1262,car,London
7204,motorcycle,Milan
7276,car,Milan
6924,car,Milan
632,car,Madrid
167,car,Milan
7616,car,London
4789,car,Milan
920,van,Madrid
7701,car,Madrid
8315,car,Madrid
8065,car,Milan
407,car,London
184,car,Milan
4153,car,London
1697,car,Madrid
1830,car,Milan
6317,car,Madrid
2041,van,Madrid
4667,car,Milan
4733,car,London
4860,car,London
100,motorcycle,Rome
1789,car,Rome
3591,car,Madrid
6846,motorcycle,Milan
4186,car,Milan
6215,van,Milan
6619,car,London
5564,car,London
3933,motorcycle,Milan
6575,car,Milan
5784,car,Rome
1994,car,Madrid
819,car,Milan
5092,car,Milan
205,car,Rome
1464,car,London
8646,car,Rome
361,motorcycle,Milan
886,car,Rome
7266,car,Madrid
6295,van,Rome
850,car,Madrid
8322,car,Milan
4510,car,Rome
7206,car,London
2879,motorcycle,Milan
6116,car,Madrid
6277,car,Milan
3418,car,Madrid
1302,motorcycle,Rome
7566,car,London
6364,car,Milan
